id,lastName,firstName,seat,term,score1,score2
16,White,Byron,6,1972,0.34959693183288054,0.2603318020395765
16,White,Byron,6,1973,0.33451822701362116,0.1519305327352505
16,White,Byron,6,1974,0.3271100182691877,0.04699190883970975
16,White,Byron,6,1975,0.32771783935912846,-0.07221599825827298
16,White,Byron,6,1976,0.3044506126755289,-0.13342734799665082
16,White,Byron,6,1977,0.288920964232819,-0.17812446784439198
16,White,Byron,6,1978,0.32758984088806165,-0.24942252177029642
16,White,Byron,6,1979,0.3699269545196918,-0.2951922076346637
16,White,Byron,6,1980,0.40731732469633636,-0.3344031178553003
16,White,Byron,6,1981,0.4451832630164945,-0.36082741435423765
16,White,Byron,6,1982,0.48973119251700176,-0.3719621084804409
16,White,Byron,6,1983,0.5274127099525345,-0.37955645003582084
16,White,Byron,6,1984,0.5629952033244406,-0.38413389875271586
16,White,Byron,6,1985,0.5927994363780734,-0.3768189432832646
16,White,Byron,6,1986,0.5980383003217927,-0.3340480624379739
16,White,Byron,6,1987,0.6132175227515991,-0.3400190178115451
16,White,Byron,6,1988,0.6378651892375593,-0.3448062785070286
16,White,Byron,6,1989,0.6606199624929967,-0.3530974605815562
16,White,Byron,6,1990,0.6530942549016112,-0.37845174020042666
16,White,Byron,6,1991,0.6227595578364624,-0.42907371088243845
16,White,Byron,6,1992,0.603356925603845,-0.46176879840591134
17,Goldberg,Arthur,2,1962,-0.3706850843982996,-0.9488835189074618
17,Goldberg,Arthur,2,1963,-0.3747860804739679,-0.9018226641816504
17,Goldberg,Arthur,2,1964,-0.24485872610516657,-0.7219112182641262
18,Fortas,Abe,2,1965,-0.5382440776477875,-1.1209854948059197
18,Fortas,Abe,2,1966,-0.5395024374323413,-1.114917484314463
18,Fortas,Abe,2,1967,-0.44596845192476214,-1.0590235129392855
18,Fortas,Abe,2,1968,-0.4764559491978614,-1.1393856880079378
19,Marshall,Thurgood,7,1967,-1.0351551185178864,1.339141708340386
19,Marshall,Thurgood,7,1968,-0.9273583237198584,1.0180137517339138
19,Marshall,Thurgood,7,1969,-0.9907753674944916,0.9300509093796256
19,Marshall,Thurgood,7,1970,-1.0068757520920966,0.8797531807014232
19,Marshall,Thurgood,7,1971,-1.0779948332025486,0.6194402445919048
19,Marshall,Thurgood,7,1972,-1.1262441557730551,0.44175159453894763
19,Marshall,Thurgood,7,1973,-1.1447854654622442,0.3167139691545701
19,Marshall,Thurgood,7,1974,-1.1395265997688473,0.11466660282083274
19,Marshall,Thurgood,7,1975,-1.145483401007678,-0.08464662186509142
19,Marshall,Thurgood,7,1976,-1.1726921715585792,-0.2486028923246505
19,Marshall,Thurgood,7,1977,-1.1928407434500194,-0.3913179018026708
19,Marshall,Thurgood,7,1978,-1.2155281271547984,-0.522433841807836
19,Marshall,Thurgood,7,1979,-1.2405443476586295,-0.6327544373905031
19,Marshall,Thurgood,7,1980,-1.2477044317320034,-0.7344223690379333
19,Marshall,Thurgood,7,1981,-1.26670111389972,-0.8124356547115662
19,Marshall,Thurgood,7,1982,-1.28655788056176,-0.8788903510101594
19,Marshall,Thurgood,7,1983,-1.302074380193764,-0.9303932930479393
19,Marshall,Thurgood,7,1984,-1.3188726570262042,-0.9669355241373436
19,Marshall,Thurgood,7,1985,-1.3488297297504004,-0.9784296713738933
19,Marshall,Thurgood,7,1986,-1.365265736905201,-0.991571922845884
19,Marshall,Thurgood,7,1987,-1.3798143367544309,-0.9944323316476021
19,Marshall,Thurgood,7,1988,-1.3951967221711712,-1.0019149194374979
19,Marshall,Thurgood,7,1989,-1.4056374486409793,-1.0080089838048512
19,Marshall,Thurgood,7,1990,-1.3988857902418221,-1.04920025546364
20,Burger,Warren,0,1969,1.4302922416624033,0.003731229719954041
20,Burger,Warren,0,1970,1.4225154112014977,-0.04543098471508761
20,Burger,Warren,0,1971,1.3178385446680265,-0.12464968539101152
20,Burger,Warren,0,1972,1.2809605162350661,-0.13322901410532625
20,Burger,Warren,0,1973,1.272477056468368,-0.13125832577752097
20,Burger,Warren,0,1974,1.2657587951832237,-0.11816569565951943
20,Burger,Warren,0,1975,1.2821511135641008,-0.07880677469137393
20,Burger,Warren,0,1976,1.263030169627055,-0.04290996732093188
20,Burger,Warren,0,1977,1.2442399738463115,-0.003047958966667386
20,Burger,Warren,0,1978,1.2164057315288446,0.03693860444668707
20,Burger,Warren,0,1979,1.1997321381479105,0.06571685603004752
20,Burger,Warren,0,1980,1.1726018617715819,0.09700333476145741
20,Burger,Warren,0,1981,1.1608454968215083,0.10871609275836293
20,Burger,Warren,0,1982,1.133384185294745,0.11879007909736913
20,Burger,Warren,0,1983,1.1205110518310168,0.1252961069716898
20,Burger,Warren,0,1984,1.1245595533354054,0.12195943712485882
20,Burger,Warren,0,1985,1.1411440881247066,0.13006156976549876
21,Blackmun,Harry,2,1969,1.350814237300789,-0.6689560140934083
21,Blackmun,Harry,2,1970,1.2335477322100017,-0.6211231027170931
21,Blackmun,Harry,2,1971,1.0850120973830235,-0.6687904250822464
21,Blackmun,Harry,2,1972,1.0138301253230637,-0.6635569358053499
21,Blackmun,Harry,2,1973,0.9779263144551181,-0.7497775419039189
21,Blackmun,Harry,2,1974,0.9486352160504183,-0.8125535295659287
21,Blackmun,Harry,2,1975,0.9527452930810776,-0.893720351021852
21,Blackmun,Harry,2,1976,0.9137081964064238,-0.9558088035060449
21,Blackmun,Harry,2,1977,0.8617480906693448,-1.0288247998542857
21,Blackmun,Harry,2,1978,0.747778361179848,-1.0251192626766141
21,Blackmun,Harry,2,1979,0.658035815619029,-1.038013153177471
